country,Date,Open,High,Low,Close,Adj Close,Volume
Canada,1979-06-30,-1.2825017779186212,-1.2828394735310984,-1.2810596099754974,-1.2818916887407812,-1.281854704369927,-0.9797688696437891
Canada,1979-07-31,-1.2912116714789053,-1.2923921749547707,-1.2909509954250435,-1.2923762870369206,-1.2923091649352074,-0.9797688696437891
Canada,1979-08-31,-1.2706973413201894,-1.2697737488839063,-1.2691934332402557,-1.268520789701497,-1.2685222351426053,-0.9797688696437891
Canada,1979-09-30,-1.2574499391116425,-1.2587327915921365,-1.257379692898881,-1.2586795371797732,-1.2587093123746553,-0.9797688696437891
Canada,1979-10-31,-1.2919418340635689,-1.2893463943613512,-1.2905490399599353,-1.2886901498593766,-1.288633626086433,-0.9797688696437891
Canada,1979-11-30,-1.2672898805551667,-1.2685796796903175,-1.2662924292155409,-1.2677731451201968,-1.2677767519269285,-0.9797688696437891
Canada,1979-12-31,-1.2495397524826461,-1.2493185433829355,-1.2479601496623303,-1.2480210863139978,-1.2480814821393795,-0.9797688696437891
Canada,1980-01-31,-1.2107016223631164,-1.2085811883365862,-1.2088839217641127,-1.2107251574013669,-1.2108928073915723,-0.9797688696437891
Canada,1980-02-29,-1.1844502337701834,-1.1833322990657273,-1.182495231885374,-1.1820533432243803,-1.1823034040687035,-0.9797688696437891
Canada,1980-03-31,-1.2519215137172972,-1.2507722176349068,-1.2503194033932108,-1.2507335132626778,-1.2507861211314255,-0.9797688696437891
Canada,1980-04-30,-1.2387958194208308,-1.2395581832625506,-1.2381736156675662,-1.2381624294329647,-1.2382511820908366,-0.9797688696437891
Canada,1980-05-31,-1.22302758850634,-1.221594987747103,-1.2226200169973163,-1.2204620898913776,-1.2206017423058142,-0.9797688696437891
Canada,1980-06-30,-1.202721870165541,-1.2038048270622528,-1.2030119843008935,-1.2048829809274977,-1.2050674294688826,-0.9797688696437891
Canada,1980-07-31,-1.1803473507608764,-1.1820343793987877,-1.1811320989743517,-1.1812187829706762,-1.1814712466268693,-0.9797688696437891
Canada,1980-08-31,-1.1808689015276235,-1.179317409345992,-1.1795592631537646,-1.1776369658248451,-1.1778997592848455,-0.9797688696437891
Canada,1980-09-30,-1.1739670548697867,-1.1720490592111301,-1.1719572233542603,-1.170334266457337,-1.1706180634035843,-0.9797688696437891
Canada,1980-10-31,-1.1784176383902585,-1.175440972840728,-1.1774097123324485,-1.173776976077665,-1.174050914419118,-0.9797688696437891
Canada,1980-11-30,-1.1482719786059354,-1.1474405107759527,-1.1461277554563278,-1.1456094213744195,-1.145964306478685,-0.9797688696437891
Canada,1980-12-31,-1.1697251256111416,-1.1701454436996186,-1.167693107751474,-1.1688215729354274,-1.1691097409093185,-0.9797688696437891
Canada,1981-01-31,-1.1761923466300226,-1.1772407378788885,-1.174298984065218,-1.1761242723029355,-1.176391394355218,-0.9797688696437891
Canada,1981-02-28,-1.184711009153557,-1.185980063636282,-1.1834389163113654,-1.1843311069117275,-1.184574629494601,-0.9797688696437891
Canada,1981-03-31,-1.1590333348928281,-1.159069862541734,-1.1569453963107958,-1.1576240751021207,-1.157944403165782,-0.9797688696437891
Canada,1981-04-30,-1.16200614879694,-1.162929018801432,-1.1605454171450427,-1.162266539374048,-1.162573549461415,-0.9797688696437891
Canada,1981-05-31,-1.1508971344427927,-1.1520784188358146,-1.1492559767434811,-1.1509995090028182,-1.1513388723369524,-0.9797688696437891
Canada,1981-06-30,-1.153018099072115,-1.1545530852007884,-1.1523317189708657,-1.1527556088571154,-1.1530899250998206,-0.9797688696437891
Canada,1981-07-31,-1.1731499671573318,-1.1731047174402367,-1.1729708371940413,-1.1713949135834332,-1.1716755950511084,-0.9797688696437891
Canada,1981-08-31,-1.1808689015276235,-1.1807883849685235,-1.182949581078447,-1.1848179620261594,-1.185060132467167,-0.9797688696437891
Canada,1981-09-30,-1.2348494058859387,-1.236287421476864,-1.2358143619366857,-1.235815133207694,-1.2359106385016942,-0.9797688696437891
Canada,1981-10-31,-1.2452282788773772,-1.2442653179296486,-1.2435911612718107,-1.2429091925117763,-1.2429843162401777,-0.9797688696437891
Canada,1981-11-30,-1.214317694946056,-1.2149496348273734,-1.214616021732704,-1.2134375843500471,-1.2135974463836183,-0.9797688696437891
Canada,1981-12-31,-1.224383628988664,-1.224969578881146,-1.2226374886842881,-1.2235048812945062,-1.22363578579262,-0.9797688696437891
Canada,1982-01-31,-1.2517476634617148,-1.252745059753654,-1.2521194138103342,-1.2525939543735165,-1.2526412041833634,-0.9797688696437891
Canada,1982-02-28,-1.2721576877114722,-1.2732348679957453,-1.2715002505772697,-1.2726937607686446,-1.2726832345285843,-0.9797688696437891
