TIME_PERIOD,interest_rate,country
1966-01,3.5,France
1966-02,3.5,France
1966-03,3.5,France
1966-04,3.5,France
1966-05,3.5,France
1966-06,3.5,France
1966-07,3.5,France
1966-08,3.5,France
1966-09,3.5,France
1966-10,3.5,France
1966-11,3.5,France
1966-12,3.5,France
1967-01,3.5,France
1967-02,3.5,France
1967-03,3.5,France
1967-04,3.5,France
1967-05,3.5,France
1967-06,3.5,France
1967-07,3.5,France
1967-08,3.5,France
1967-09,3.5,France
1967-10,3.5,France
1967-11,3.5,France
1967-12,3.5,France
1968-01,3.5,France
1968-02,3.5,France
1968-03,3.5,France
1968-04,3.5,France
1968-05,3.5,France
1968-06,3.5,France
1968-07,5.0,France
1968-08,5.0,France
1968-09,5.0,France
1968-10,5.0,France
1968-11,6.0,France
1968-12,6.0,France
1969-01,6.0,France
1969-02,6.0,France
1969-03,6.0,France
1969-04,6.0,France
1969-05,6.0,France
1969-06,7.0,France
1969-07,7.0,France
1969-08,7.0,France
1969-09,7.0,France
1969-10,8.0,France
1969-11,8.0,France
1969-12,8.0,France
1970-01,8.0,France
1970-02,8.0,France
1970-03,8.0,France
1970-04,8.0,France
1970-05,8.0,France
1970-06,8.0,France
1970-07,8.0,France
1970-08,7.5,France
1970-09,7.5,France
1970-10,7.0,France
1970-11,7.0,France
1970-12,7.0,France
1971-01,6.5,France
1971-02,6.5,France
1971-03,6.5,France
1971-04,6.5,France
1971-05,6.75,France
1971-06,6.75,France
1971-07,6.75,France
1971-08,6.75,France
1971-09,6.75,France
1971-10,6.5,France
1971-11,6.5,France
1971-12,6.5,France
1972-01,6.0,France
1972-02,6.0,France
1972-03,6.0,France
1972-04,5.75,France
1972-05,5.75,France
1972-06,5.75,France
1972-07,5.75,France
1972-08,5.75,France
1972-09,5.75,France
1972-10,5.75,France
1972-11,7.5,France
1972-12,7.5,France
1973-01,7.5,France
1973-02,7.5,France
1973-03,7.5,France
1973-04,7.5,France
1973-05,7.5,France
1973-06,7.5,France
1973-07,8.625,France
1973-08,8.875,France
1973-09,9.8125,France
1973-10,10.875,France
1973-11,10.8125,France
1973-12,10.6875,France
1974-01,11.5,France
1974-02,10.75,France
1974-03,10.5,France
1974-04,10.625,France
1974-05,10.625,France
1974-06,11.875,France
1974-07,11.75,France
1974-08,11.75,France
1974-09,11.75,France
1974-10,11.5,France
1974-11,11.0,France
1974-12,10.75,France
1975-01,10.0,France
1975-02,9.625,France
1975-03,9.5,France
1975-04,7.875,France
1975-05,7.25,France
1975-06,7.0,France
1975-07,7.0,France
1975-08,7.0,France
1975-09,7.0,France
1975-10,6.75,France
1975-11,6.5,France
1975-12,6.25,France
1976-01,6.5,France
1976-02,7.625,France
1976-03,7.375,France
1976-04,7.375,France
1976-05,7.5,France
1976-06,7.5,France
1976-07,8.375,France
1976-08,9.25,France
1976-09,9.25,France
1976-10,9.25,France
1976-11,10.25,France
1976-12,10.25,France
1977-01,9.875,France
1977-02,9.75,France
1977-03,9.5,France
1977-04,9.125,France
1977-05,9.0,France
1977-06,8.875,France
1977-07,8.5,France
1977-08,8.25,France
1977-09,8.125,France
1977-10,8.125,France
1977-11,8.5,France
1977-12,8.875,France
1978-01,8.75,France
1978-02,8.75,France
1978-03,8.75,France
1978-04,8.375,France
1978-05,8.125,France
1978-06,7.75,France
1978-07,7.375,France
1978-08,7.375,France
1978-09,7.25,France
1978-10,7.0,France
1978-11,6.875,France
1978-12,6.375,France
1979-01,6.375,France
1979-02,6.375,France
1979-03,6.75,France
1979-04,6.75,France
1979-05,7.125,France
1979-06,8.375,France
1979-07,10.25,France
