Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2024-10-10,2024-10-11 18:02 CEST,BIS,"https:/data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.N.FR?","https:/data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.N.FR?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1966-08-31,F:Free,,A:Normal value,122.4
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1966-09-30,F:Free,,A:Normal value,122.15
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1966-10-31,F:Free,,A:Normal value,121.29
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1966-11-30,F:Free,,A:Normal value,121.24
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1966-12-31,F:Free,,A:Normal value,120.77
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1967-01-31,F:Free,,A:Normal value,121.2
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1967-02-28,F:Free,,A:Normal value,121.06
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1967-03-31,F:Free,,A:Normal value,120.89
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1967-04-30,F:Free,,A:Normal value,120.6
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1967-05-31,F:Free,,A:Normal value,121.37
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1967-06-30,F:Free,,A:Normal value,121.55
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1967-07-31,F:Free,,A:Normal value,122.07
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1967-08-31,F:Free,,A:Normal value,122.15
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1967-09-30,F:Free,,A:Normal value,122.07
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1967-10-31,F:Free,,A:Normal value,122.81
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1967-11-30,F:Free,,A:Normal value,124.2
"BIS,WS_EER,1.0",M.R.N.FR,M:Monthly,R:Real,N:Narrow (27 economies),FR:France,"Index, 2020 = 100",,1967-12-31,F:Free,,A:Normal value,126.13
